日付,新しい視聴者とリピーター,視聴回数
2026-07-12,新しい視聴者数,344
2026-07-13,新しい視聴者数,190
2026-07-14,新しい視聴者数,264
2026-07-15,新しい視聴者数,478
2026-07-16,新しい視聴者数,381
2026-07-17,新しい視聴者数,494
2026-07-18,新しい視聴者数,0
2026-07-12,リピーター,88
2026-07-13,リピーター,65
2026-07-14,リピーター,61
2026-07-15,リピーター,152
2026-07-16,リピーター,170
2026-07-17,リピーター,239
2026-07-18,リピーター,0
