視聴行動別の視聴者区分,インプレッション数,インプレッションのクリック率 (%),視聴回数,総再生時間（単位: 時間）,平均視聴時間
合計,4001,2.8,3379,14.6325,0:00:37
新しい視聴者数,3335,2.79,2882,11.8575,0:00:36
ライトな視聴者,44,9.09,44,0.2422,0:00:29
不明,,,0,0,
