日付,視聴行動別の視聴者区分,視聴回数
2026-07-12,不明,0
2026-07-13,不明,0
2026-07-14,不明,0
2026-07-15,不明,0
2026-07-16,不明,0
2026-07-17,不明,0
2026-07-18,不明,0
2026-07-12,新しい視聴者数,428
2026-07-13,新しい視聴者数,253
2026-07-14,新しい視聴者数,323
2026-07-15,新しい視聴者数,621
2026-07-16,新しい視聴者数,542
2026-07-17,新しい視聴者数,715
2026-07-18,新しい視聴者数,0
2026-07-12,ライトな視聴者,4
2026-07-13,ライトな視聴者,2
2026-07-14,ライトな視聴者,2
2026-07-15,ライトな視聴者,9
2026-07-16,ライトな視聴者,9
2026-07-17,ライトな視聴者,18
2026-07-18,ライトな視聴者,0
