日付,新しい視聴者とリピーター,視聴回数
2026-08-01,新しい視聴者数,918
2026-08-02,新しい視聴者数,1002
2026-08-03,新しい視聴者数,857
2026-08-04,新しい視聴者数,485
2026-08-05,新しい視聴者数,1035
2026-08-06,新しい視聴者数,297
2026-08-07,新しい視聴者数,125
2026-08-08,新しい視聴者数,0
2026-08-01,リピーター,84
2026-08-02,リピーター,78
2026-08-03,リピーター,56
2026-08-04,リピーター,31
2026-08-05,リピーター,68
2026-08-06,リピーター,41
2026-08-07,リピーター,15
2026-08-08,リピーター,0
