視聴行動別の視聴者区分,インプレッション数,インプレッションのクリック率 (%),視聴回数,総再生時間（単位: 時間）,平均視聴時間
合計,5048,3.27,5939,21.0961,0:00:30
新しい視聴者数,4213,3.44,5059,17.1495,0:00:30
ライトな視聴者,77,7.79,33,0.2077,0:00:32
不明,,,0,0,
