日付,チャンネル登録元,チャンネル登録者
2026-07-12,その他,0
2026-07-13,その他,0
2026-07-14,その他,0
2026-07-15,その他,0
2026-07-16,その他,0
2026-07-17,その他,0
2026-07-18,その他,0
2026-07-12,ショート フィード,1
2026-07-13,ショート フィード,1
2026-07-14,ショート フィード,0
2026-07-15,ショート フィード,3
2026-07-16,ショート フィード,0
2026-07-17,ショート フィード,0
2026-07-18,ショート フィード,0
