日付,コンテンツ,動画のタイトル,動画公開時刻,長さ,視聴回数
2026-09-08,S56v6xwhZpc,杖を使っていてもMRI検査は受けられます　#MRI検査 #杖歩行 #検査前の不安 #高齢者の検査 #医療情報 #診療放射線技師 #検査前に知っておきたい,"Sep 11, 2026",34,0
2026-09-09,S56v6xwhZpc,杖を使っていてもMRI検査は受けられます　#MRI検査 #杖歩行 #検査前の不安 #高齢者の検査 #医療情報 #診療放射線技師 #検査前に知っておきたい,"Sep 11, 2026",34,0
2026-09-10,S56v6xwhZpc,杖を使っていてもMRI検査は受けられます　#MRI検査 #杖歩行 #検査前の不安 #高齢者の検査 #医療情報 #診療放射線技師 #検査前に知っておきたい,"Sep 11, 2026",34,0
2026-09-11,S56v6xwhZpc,杖を使っていてもMRI検査は受けられます　#MRI検査 #杖歩行 #検査前の不安 #高齢者の検査 #医療情報 #診療放射線技師 #検査前に知っておきたい,"Sep 11, 2026",34,350
2026-09-12,S56v6xwhZpc,杖を使っていてもMRI検査は受けられます　#MRI検査 #杖歩行 #検査前の不安 #高齢者の検査 #医療情報 #診療放射線技師 #検査前に知っておきたい,"Sep 11, 2026",34,84
2026-09-05,l_sSDAL7nQk,補聴器を外したら、説明が聞こえない時は？ #補聴器 #MRI検査 #CT検査 #検査前の不安 #高齢者の検査 #家族の付き添い #診療放射線技師,"Sep 7, 2026",59,0
2026-09-06,l_sSDAL7nQk,補聴器を外したら、説明が聞こえない時は？ #補聴器 #MRI検査 #CT検査 #検査前の不安 #高齢者の検査 #家族の付き添い #診療放射線技師,"Sep 7, 2026",59,0
2026-09-07,l_sSDAL7nQk,補聴器を外したら、説明が聞こえない時は？ #補聴器 #MRI検査 #CT検査 #検査前の不安 #高齢者の検査 #家族の付き添い #診療放射線技師,"Sep 7, 2026",59,568
2026-09-08,l_sSDAL7nQk,補聴器を外したら、説明が聞こえない時は？ #補聴器 #MRI検査 #CT検査 #検査前の不安 #高齢者の検査 #家族の付き添い #診療放射線技師,"Sep 7, 2026",59,235
2026-09-09,l_sSDAL7nQk,補聴器を外したら、説明が聞こえない時は？ #補聴器 #MRI検査 #CT検査 #検査前の不安 #高齢者の検査 #家族の付き添い #診療放射線技師,"Sep 7, 2026",59,23
2026-09-10,l_sSDAL7nQk,補聴器を外したら、説明が聞こえない時は？ #補聴器 #MRI検査 #CT検査 #検査前の不安 #高齢者の検査 #家族の付き添い #診療放射線技師,"Sep 7, 2026",59,0
2026-09-11,l_sSDAL7nQk,補聴器を外したら、説明が聞こえない時は？ #補聴器 #MRI検査 #CT検査 #検査前の不安 #高齢者の検査 #家族の付き添い #診療放射線技師,"Sep 7, 2026",59,0
2026-09-12,l_sSDAL7nQk,補聴器を外したら、説明が聞こえない時は？ #補聴器 #MRI検査 #CT検査 #検査前の不安 #高齢者の検査 #家族の付き添い #診療放射線技師,"Sep 7, 2026",59,1
