視聴行動別の視聴者区分,サムネイルのインプレッション,サムネイルのクリック率 (%),視聴回数,総再生時間（単位: 時間）,平均視聴時間
合計,5002,3.1,5976,16.3732,0:00:29
新しい視聴者数,4247,3.18,4949,14.9618,0:00:30
ライトな視聴者,289,3.11,38,0.1071,0:00:18
不明,,,0,0,
