日付,新しい視聴者とリピーター,視聴回数
2026-09-05,新しい視聴者数,913
2026-09-06,新しい視聴者数,906
2026-09-07,新しい視聴者数,476
2026-09-08,新しい視聴者数,371
2026-09-09,新しい視聴者数,195
2026-09-10,新しい視聴者数,918
2026-09-11,新しい視聴者数,430
2026-09-12,新しい視聴者数,0
2026-09-05,リピーター,204
2026-09-06,リピーター,178
2026-09-07,リピーター,214
2026-09-08,リピーター,144
2026-09-09,リピーター,133
2026-09-10,リピーター,293
2026-09-11,リピーター,43
2026-09-12,リピーター,0
