新しい視聴者とリピーター,サムネイルのインプレッション,サムネイルのクリック率 (%),視聴回数,総再生時間（単位: 時間）,平均視聴時間
合計,6929,2.86,5638,13.589,0:00:34
新しい視聴者数,5646,2.59,4209,6.3828,0:00:25
リピーター,473,6.34,1209,6.4995,0:00:48
