日付,コンテンツ,動画のタイトル,動画公開時刻,長さ,視聴回数
2026-07-12,pWMBrIXPjpo,検査前、子どもにどう説明すればいい？#診療放射線技師 #放射線検査 #小児検査 #子どもの検査 #検査前 #レントゲン検査  #医療知識 #子育て #育児 #病院受診 #検査の不安#保存推奨,"Jul 13, 2026",60,0
2026-07-13,pWMBrIXPjpo,検査前、子どもにどう説明すればいい？#診療放射線技師 #放射線検査 #小児検査 #子どもの検査 #検査前 #レントゲン検査  #医療知識 #子育て #育児 #病院受診 #検査の不安#保存推奨,"Jul 13, 2026",60,201
2026-07-14,pWMBrIXPjpo,検査前、子どもにどう説明すればいい？#診療放射線技師 #放射線検査 #小児検査 #子どもの検査 #検査前 #レントゲン検査  #医療知識 #子育て #育児 #病院受診 #検査の不安#保存推奨,"Jul 13, 2026",60,24
2026-07-15,pWMBrIXPjpo,検査前、子どもにどう説明すればいい？#診療放射線技師 #放射線検査 #小児検査 #子どもの検査 #検査前 #レントゲン検査  #医療知識 #子育て #育児 #病院受診 #検査の不安#保存推奨,"Jul 13, 2026",60,49
2026-07-16,pWMBrIXPjpo,検査前、子どもにどう説明すればいい？#診療放射線技師 #放射線検査 #小児検査 #子どもの検査 #検査前 #レントゲン検査  #医療知識 #子育て #育児 #病院受診 #検査の不安#保存推奨,"Jul 13, 2026",60,0
2026-07-17,pWMBrIXPjpo,検査前、子どもにどう説明すればいい？#診療放射線技師 #放射線検査 #小児検査 #子どもの検査 #検査前 #レントゲン検査  #医療知識 #子育て #育児 #病院受診 #検査の不安#保存推奨,"Jul 13, 2026",60,0
2026-07-18,pWMBrIXPjpo,検査前、子どもにどう説明すればいい？#診療放射線技師 #放射線検査 #小児検査 #子どもの検査 #検査前 #レントゲン検査  #医療知識 #子育て #育児 #病院受診 #検査の不安#保存推奨,"Jul 13, 2026",60,1
2026-07-12,taElWjGBZGI,骨折の診断、レントゲンだけじゃダメなの？#レントゲン #骨折 #CT検査 #MRI検査 #画像診断 #放射線検査 #診療放射線技師 #医療知識 #検査の不安 #病院検査 #医療系リール #保存推奨,"Jul 17, 2026",67,0
2026-07-13,taElWjGBZGI,骨折の診断、レントゲンだけじゃダメなの？#レントゲン #骨折 #CT検査 #MRI検査 #画像診断 #放射線検査 #診療放射線技師 #医療知識 #検査の不安 #病院検査 #医療系リール #保存推奨,"Jul 17, 2026",67,0
2026-07-14,taElWjGBZGI,骨折の診断、レントゲンだけじゃダメなの？#レントゲン #骨折 #CT検査 #MRI検査 #画像診断 #放射線検査 #診療放射線技師 #医療知識 #検査の不安 #病院検査 #医療系リール #保存推奨,"Jul 17, 2026",67,0
2026-07-15,taElWjGBZGI,骨折の診断、レントゲンだけじゃダメなの？#レントゲン #骨折 #CT検査 #MRI検査 #画像診断 #放射線検査 #診療放射線技師 #医療知識 #検査の不安 #病院検査 #医療系リール #保存推奨,"Jul 17, 2026",67,0
2026-07-16,taElWjGBZGI,骨折の診断、レントゲンだけじゃダメなの？#レントゲン #骨折 #CT検査 #MRI検査 #画像診断 #放射線検査 #診療放射線技師 #医療知識 #検査の不安 #病院検査 #医療系リール #保存推奨,"Jul 17, 2026",67,0
2026-07-17,taElWjGBZGI,骨折の診断、レントゲンだけじゃダメなの？#レントゲン #骨折 #CT検査 #MRI検査 #画像診断 #放射線検査 #診療放射線技師 #医療知識 #検査の不安 #病院検査 #医療系リール #保存推奨,"Jul 17, 2026",67,556
2026-07-18,taElWjGBZGI,骨折の診断、レントゲンだけじゃダメなの？#レントゲン #骨折 #CT検査 #MRI検査 #画像診断 #放射線検査 #診療放射線技師 #医療知識 #検査の不安 #病院検査 #医療系リール #保存推奨,"Jul 17, 2026",67,205
