日付,コンテンツ,動画のタイトル,動画公開時刻,長さ,視聴回数
2026-08-01,6h9ZH70jW3U,前の病院でも撮ったのに、また撮るんですか？　#レントゲン #骨折 #整形外科 #経過観察 #医療検査 #検査の不安 #診療放射線技師,"Aug 8, 2026",57,0
2026-08-02,6h9ZH70jW3U,前の病院でも撮ったのに、また撮るんですか？　#レントゲン #骨折 #整形外科 #経過観察 #医療検査 #検査の不安 #診療放射線技師,"Aug 8, 2026",57,0
2026-08-03,6h9ZH70jW3U,前の病院でも撮ったのに、また撮るんですか？　#レントゲン #骨折 #整形外科 #経過観察 #医療検査 #検査の不安 #診療放射線技師,"Aug 8, 2026",57,0
2026-08-04,6h9ZH70jW3U,前の病院でも撮ったのに、また撮るんですか？　#レントゲン #骨折 #整形外科 #経過観察 #医療検査 #検査の不安 #診療放射線技師,"Aug 8, 2026",57,0
2026-08-05,6h9ZH70jW3U,前の病院でも撮ったのに、また撮るんですか？　#レントゲン #骨折 #整形外科 #経過観察 #医療検査 #検査の不安 #診療放射線技師,"Aug 8, 2026",57,0
2026-08-06,6h9ZH70jW3U,前の病院でも撮ったのに、また撮るんですか？　#レントゲン #骨折 #整形外科 #経過観察 #医療検査 #検査の不安 #診療放射線技師,"Aug 8, 2026",57,0
2026-08-07,6h9ZH70jW3U,前の病院でも撮ったのに、また撮るんですか？　#レントゲン #骨折 #整形外科 #経過観察 #医療検査 #検査の不安 #診療放射線技師,"Aug 8, 2026",57,0
2026-08-08,6h9ZH70jW3U,前の病院でも撮ったのに、また撮るんですか？　#レントゲン #骨折 #整形外科 #経過観察 #医療検査 #検査の不安 #診療放射線技師,"Aug 8, 2026",57,786
2026-08-01,uY9ztG_Y_0Y,レントゲンで異常なし。でも痛みが続くときは？ #レントゲン #X線検査 #痛みが続く #異常なし #MRI検査 #検査の不安 #診療放射線技師,"Aug 3, 2026",52,0
2026-08-02,uY9ztG_Y_0Y,レントゲンで異常なし。でも痛みが続くときは？ #レントゲン #X線検査 #痛みが続く #異常なし #MRI検査 #検査の不安 #診療放射線技師,"Aug 3, 2026",52,0
2026-08-03,uY9ztG_Y_0Y,レントゲンで異常なし。でも痛みが続くときは？ #レントゲン #X線検査 #痛みが続く #異常なし #MRI検査 #検査の不安 #診療放射線技師,"Aug 3, 2026",52,860
2026-08-04,uY9ztG_Y_0Y,レントゲンで異常なし。でも痛みが続くときは？ #レントゲン #X線検査 #痛みが続く #異常なし #MRI検査 #検査の不安 #診療放射線技師,"Aug 3, 2026",52,1
2026-08-05,uY9ztG_Y_0Y,レントゲンで異常なし。でも痛みが続くときは？ #レントゲン #X線検査 #痛みが続く #異常なし #MRI検査 #検査の不安 #診療放射線技師,"Aug 3, 2026",52,4
2026-08-06,uY9ztG_Y_0Y,レントゲンで異常なし。でも痛みが続くときは？ #レントゲン #X線検査 #痛みが続く #異常なし #MRI検査 #検査の不安 #診療放射線技師,"Aug 3, 2026",52,2
2026-08-07,uY9ztG_Y_0Y,レントゲンで異常なし。でも痛みが続くときは？ #レントゲン #X線検査 #痛みが続く #異常なし #MRI検査 #検査の不安 #診療放射線技師,"Aug 3, 2026",52,1
2026-08-08,uY9ztG_Y_0Y,レントゲンで異常なし。でも痛みが続くときは？ #レントゲン #X線検査 #痛みが続く #異常なし #MRI検査 #検査の不安 #診療放射線技師,"Aug 3, 2026",52,0
