日付,YouTube サービス,視聴回数
2026-07-12,YouTube,432
2026-07-13,YouTube,255
2026-07-14,YouTube,325
2026-07-15,YouTube,630
2026-07-16,YouTube,551
2026-07-17,YouTube,733
2026-07-18,YouTube,0
