オーガニック トラフィックと有料のトラフィック,視聴回数,総再生時間（単位: 時間）,平均視聴時間,売上合計 (USD),承認済みのコミッション（報酬） (USD)
合計,3379,14.6325,0:00:37,0,0
オーガニック,3385,14.8156,0:00:37,,
