period_start,period_end,published_date,published_time,title,views,reach,likes,interactions,comments,shares,saves,engagement_rate_percent,avg_watch_time,total_watch_time,unknown_1,unknown_2,final_rate_percent,source,notes
2026-06-01,2026-06-07,2026-06-01,15:03,検査前 不安,133,138,1,1,0,0,0,0.75,0:01,3:13,-,-,7.5,Metricool pasted data,"Metricool column labels were not fully visible; keep source values unchanged."
2026-06-01,2026-06-07,2026-06-01,23:26,検査前 絶飲食,183,193,1,1,0,0,0,0.55,0:01,5:45,-,-,6.5,Metricool pasted data,"Metricool column labels were not fully visible; keep source values unchanged."
2026-06-01,2026-06-07,2026-06-02,19:39,検査前 持ち物,259,268,1,1,0,0,0,0.39,0:02,10:25,-,-,11.2,Metricool pasted data,"Metricool column labels were not fully visible; keep source values unchanged."
2026-06-01,2026-06-07,2026-06-03,19:15,検査前 この服,81,83,1,1,0,0,0,1.23,0:03,4:52,-,-,17.5,Metricool pasted data,"Metricool column labels were not fully visible; keep source values unchanged."
2026-06-01,2026-06-07,2026-06-04,18:26,エコー検査って,51,55,1,1,0,0,0,1.96,0:01,1:24,-,-,7.7,Metricool pasted data,"Metricool column labels were not fully visible; keep source values unchanged."
2026-06-01,2026-06-07,2026-06-05,21:33,エコー検査 ゼリー,151,160,1,1,0,0,0,0.66,0:01,4:48,-,-,6.6,Metricool pasted data,"Metricool column labels were not fully visible; keep source values unchanged."
2026-06-01,2026-06-07,2026-06-07,18:28,エコー検査 痛い,110,117,0,0,0,0,0,0,0:02,4:06,-,-,17.6,Metricool pasted data,"Metricool column labels were not fully visible; keep source values unchanged."
