"period_start","period_end","content_id","published_date","title","length_seconds","views","watch_time_hours","subscribers_gained","impressions","ctr_percent","avg_view_duration_seconds","avg_view_percentage","source"
"2026-06-21","2026-06-27","AOsJBz9s3nY","2026-06-25","レントゲンとCTって何が違うの?","59","941","3.6917","1","266","4.89","14.12","23.93","YouTube Studio CSV"
"2026-06-21","2026-06-27","bdnyc883dDk","2026-06-26","足の手術なのに、なぜ胸の検査もするの?","71","428","1.0132","0","22","9.09","8.52","12.00","YouTube Studio CSV"
"2026-06-21","2026-06-27","7RWe3mF_GrE","2026-06-22","胸部X線で何がわかるの?","43","304","0.6256","1","225","0.89","7.41","17.23","YouTube Studio CSV"
"2026-06-21","2026-06-27","kiV9LttK6vk","2026-06-23","お腹が痛いのに、なぜ胸のレントゲン?","63","251","0.4933","0","70","4.29","7.08","11.23","YouTube Studio CSV"
"2026-06-21","2026-06-27","q-8bDBq9O7A","2026-06-24","なぜ息を吸って止めるの?","61","197","0.2953","0","187","3.21","5.40","8.86","YouTube Studio CSV"
"2026-06-21","2026-06-27","T1L_9OLXHdE","2026-06-27","マンモで要精密検査、次に何をする?","49","109","0.1011","","43","0","3.34","6.82","YouTube Studio CSV"
"2026-06-21","2026-06-27","k9t-H7VjThQ","2026-06-21","骨密度検査、何歳から受ければいい?","64","95","0.0814","0","81","1.23","3.08","4.82","YouTube Studio CSV"
"2026-06-21","2026-06-27","NK4qSW_UXEo","2026-06-20","骨密度の結果、YAM70%って何?","70","25","0.5533","0","124","1.61","79.68","113.82","YouTube Studio CSV"
