日付,チャンネル登録状況,視聴回数
2026-07-05,チャンネル登録済み,0
2026-07-06,チャンネル登録済み,0
2026-07-07,チャンネル登録済み,0
2026-07-08,チャンネル登録済み,14
2026-07-09,チャンネル登録済み,2
2026-07-10,チャンネル登録済み,12
2026-07-11,チャンネル登録済み,2
2026-07-05,未登録,53
2026-07-06,未登録,100
2026-07-07,未登録,794
2026-07-08,未登録,721
2026-07-09,未登録,702
2026-07-10,未登録,606
2026-07-11,未登録,865
