日付,視聴回数,総再生時間（単位: 時間）,平均視聴時間
合計,3379,14.6325,0:00:37
2026-07-18,452,2.5322,0:00:45
2026-07-17,733,2.7153,0:00:31
2026-07-16,551,1.5485,0:00:24
2026-07-15,630,5.4233,0:00:59
2026-07-14,326,0.7001,0:00:25
2026-07-13,255,0.6942,0:00:27
2026-07-12,432,1.0188,0:00:26
