日付,視聴行動別の視聴者区分,視聴回数
2026-07-05,不明,0
2026-07-06,不明,0
2026-07-07,不明,0
2026-07-08,不明,0
2026-07-09,不明,0
2026-07-10,不明,0
2026-07-11,不明,0
2026-07-05,新しい視聴者数,50
2026-07-06,新しい視聴者数,97
2026-07-07,新しい視聴者数,790
2026-07-08,新しい視聴者数,730
2026-07-09,新しい視聴者数,702
2026-07-10,新しい視聴者数,605
2026-07-11,新しい視聴者数,0
2026-07-05,ライトな視聴者,3
2026-07-06,ライトな視聴者,3
2026-07-07,ライトな視聴者,4
2026-07-08,ライトな視聴者,5
2026-07-09,ライトな視聴者,2
2026-07-10,ライトな視聴者,13
2026-07-11,ライトな視聴者,0
