日付,コンテンツ タイプ,視聴回数
2026-07-12,YouTube ショート,438
2026-07-13,YouTube ショート,255
2026-07-14,YouTube ショート,326
2026-07-15,YouTube ショート,630
2026-07-16,YouTube ショート,551
2026-07-17,YouTube ショート,733
2026-07-18,YouTube ショート,452
