視聴者の年齢,視聴回数 (%),平均視聴時間,平均視聴率 (%),総再生時間（単位: 時間） (%)
25～34 歳,6.08,0:00:17,32.36,1.59
35～44 歳,14.29,0:04:41,525.8,41.83
45～54 歳,15.35,0:00:59,111.35,13.53
55～64 歳,26.11,0:00:44,83.58,21.01
65 歳以上,38.18,0:00:28,53.55,22.04
