デバイスのタイプ,視聴回数,総再生時間（単位: 時間）,平均視聴時間,ユニークリーチ
合計,3872,18.8887,0:00:36,1470
携帯電話,3307,15.5116,0:00:36,1265
タブレット,387,1.3045,0:00:22,118
テレビ,88,0.8766,0:00:40,43
パソコン,88,1.1957,0:01:23,40
