日付,新しい視聴者とリピーター,視聴回数
2026-07-05,新しい視聴者数,37
2026-07-06,新しい視聴者数,82
2026-07-07,新しい視聴者数,751
2026-07-08,新しい視聴者数,671
2026-07-09,新しい視聴者数,637
2026-07-10,新しい視聴者数,517
2026-07-11,新しい視聴者数,0
2026-07-05,リピーター,16
2026-07-06,リピーター,18
2026-07-07,リピーター,43
2026-07-08,リピーター,64
2026-07-09,リピーター,67
2026-07-10,リピーター,101
2026-07-11,リピーター,0
