新しい視聴者とリピーター,インプレッション数,インプレッションのクリック率 (%),視聴回数,総再生時間（単位: 時間）,平均視聴時間
合計,4452,2.96,3872,18.8887,0:00:36
新しい視聴者数,3443,2.58,2695,9.612,0:00:26
リピーター,462,7.79,309,6.917,0:02:23
