日付,視聴回数,総再生時間（単位: 時間）,平均視聴時間
合計,5939,21.0961,0:00:30
2026-08-08,837,3.7363,0:00:30
2026-08-07,140,0.2807,0:00:19
2026-08-06,338,1.9825,0:01:12
2026-08-05,1103,3.1357,0:00:29
2026-08-04,526,0.8639,0:00:21
2026-08-03,913,3.9631,0:00:32
2026-08-02,1080,3.824,0:00:32
2026-08-01,1002,3.3099,0:00:24
