日付,視聴回数,総再生時間（単位: 時間）,平均視聴時間
合計,5976,16.3732,0:00:29
2026-08-29,990,1.3425,0:00:18
2026-08-28,188,0.5209,0:00:28
2026-08-27,1134,4.5191,0:00:48
2026-08-26,607,1.3388,0:00:19
2026-08-25,1011,2.462,0:00:21
2026-08-24,849,1.8773,0:00:22
2026-08-23,621,2.0284,0:00:32
2026-08-22,576,2.2842,0:00:41
