トラフィック ソース,視聴回数,総再生時間（単位: 時間）,平均視聴時間,インプレッション数,インプレッションのクリック率 (%)
合計,3379,14.6325,0:00:37,4001,2.8
ショート フィード,3009,12.4632,0:00:37,,
YouTube 検索,293,1.5091,0:00:35,3245,2.28
ブラウジング機能,52,0.5288,0:00:52,515,6.8
その他の YouTube 機能,12,0.0466,0:00:22,,
ハッシュタグのページ,4,0.0076,0:00:08,,
チャンネル ページ,4,0.0124,0:00:14,138,0.72
関連動画,3,0.0409,0:00:49,102,1.96
外部,1,0.0233,0:01:24,,
直接入力または不明,0,0,,,
再生リスト,,,,1,0
