日付,視聴回数,総再生時間（単位: 時間）,平均視聴時間
合計,3872,18.8887,0:00:36
2026-07-11,867,2.3596,0:00:22
2026-07-10,618,2.2903,0:00:28
2026-07-09,704,2.1613,0:00:22
2026-07-08,735,6.8636,0:01:05
2026-07-07,795,4.4081,0:00:41
2026-07-06,100,0.4061,0:00:31
2026-07-05,53,0.3998,0:00:43
