OS,視聴回数,総再生時間（単位: 時間）,平均視聴時間,ユニークリーチ
合計,3379,14.6325,0:00:37,2179
iOS,2007,5.4168,0:00:25,1368
Android,1240,8.3675,0:00:55,709
Windows,67,0.3805,0:00:31,41
Amazon Fire OS,14,0.094,0:00:24,17
Macintosh,9,0.0933,0:00:55,4
Vidaa,6,0.021,0:00:12,8
スマート テレビ,6,0.042,0:00:25,7
ChromeOS,3,0.0212,0:00:25,1
Nintendo Switch,2,0.0039,0:00:06,1
PlayStation,1,0.0084,0:00:30,1
WebOS,1,0.0087,0:00:31,2
Chromecast,1,0.0156,0:00:56,2
Roku OS,0,0,,0
