トラフィック ソース,視聴回数,総再生時間（単位: 時間）,平均視聴時間,サムネイルのインプレッション,サムネイルのクリック率 (%)
合計,5976,16.3732,0:00:29,5002,3.1
ショート フィード,5350,13.5701,0:00:28,,
YouTube 検索,542,2.3577,0:00:30,4542,3.08
その他の YouTube 機能,24,0.0675,0:00:16,,
ブラウジング機能,23,0.2768,0:01:38,122,8.2
チャンネル ページ,17,0.0221,0:00:07,298,1.34
ハッシュタグのページ,9,0.0152,0:00:09,,
外部,6,0.0613,0:00:36,,
通知,3,0.0076,0:00:09,,
関連動画,1,0.0198,0:01:11,27,3.7
直接入力または不明,1,0.013,0:00:46,,
音声のページ,1,0.0003,,,
再生リスト,,,,13,0
