再生場所,視聴回数,総再生時間（単位: 時間）,平均視聴時間
合計,3872,18.8887,0:00:36
ショート フィード,3840,18.5991,0:00:36
YouTube 動画再生ページ,31,0.2895,0:00:33
ブラウジング機能,0,0,
外部のウェブサイトやアプリの埋め込みプレーヤー,0,0,
