トラフィック ソース,視聴回数,総再生時間（単位: 時間）,平均視聴時間,インプレッション数,インプレッションのクリック率 (%)
合計,3872,18.8887,0:00:36,4452,2.96
ショート フィード,3474,15.7132,0:00:35,,
YouTube 検索,291,1.4115,0:00:29,3432,2.3
ブラウジング機能,57,1.1844,0:01:32,531,8.85
チャンネル ページ,19,0.3121,0:02:39,369,1.08
その他の YouTube 機能,16,0.0933,0:01:19,,
関連動画,12,0.1623,0:00:48,120,1.67
通知,2,0.0119,0:00:21,,
直接入力または不明,0,0,,,
外部,0,0,,,
